Date,ADCB,DIB,ENBD,FAB,Forecast Type
2024-12-17,10.3,7.05,21.15,13.58,Daily
2024-12-18,10.62613504725883,6.709522651894219,22.362955307981977,13.485311389249393,Daily
2024-12-19,10.198978534628349,6.862584467899604,21.997864028260985,13.530116598912988,Daily
2024-12-20,10.39128718359564,5.998203465692457,21.548099466800146,13.303262618942869,Daily
2024-12-21,10.091277313293709,6.936938918639984,21.128005884282388,13.466503966063398,Daily
2024-12-22,10.420136345276978,6.5751893676187025,21.05647853302545,13.612574043666937,Daily
2024-12-23,10.236528124895516,6.756452455440016,21.77123239689407,13.468556763491861,Daily
2024-12-24,10.7028114955251,6.892184441756147,21.843181838589505,13.306180501995188,Daily
2024-12-25,10.791803661762703,6.809918615992691,22.02188531444568,13.54698837738719,Daily
2024-12-26,10.422172754594785,6.780444434027512,21.691699148790114,13.512680059381925,Daily
2024-12-27,10.271451235302868,6.587903678253247,21.695119710578172,13.177948241030583,Daily
2024-12-28,10.436229214548234,6.528015888162738,22.186874877151016,13.803651628447657,Daily
2024-12-29,9.862409721914325,6.488276910279322,21.323151361735732,13.532736631666847,Daily
2024-12-30,10.47998891442536,6.5529116524709545,21.755135705993624,13.316157330642326,Daily
2024-12-31,10.674895439616826,6.491653083668927,21.260144474964466,13.695055962927915,Daily
2025-01-01,10.424210799230456,6.834605843996398,21.480214057503108,13.152636811890734,Daily
2025-01-02,10.402339651113845,6.355545403291307,21.98036616972439,13.702271433245738,Daily
2025-01-03,10.253572393498743,6.39340931697936,22.073132194650082,13.66110703137976,Daily
2025-01-04,10.76711826455537,6.83350353522666,21.643417692176588,13.330522931168574,Daily
2025-01-05,10.451675234914317,7.1309380581973665,22.080178167817103,14.059905255877972,Daily
2025-01-06,10.607861290689401,6.779033302331067,21.224110792732752,13.670018135413892,Daily
2025-01-07,10.338838430101907,6.7996322941011105,21.88057945768393,13.828320594623268,Daily
2025-01-08,10.27173973308613,6.552756886323025,21.621349941043654,13.59374528812009,Daily
2025-01-09,10.699406684997397,6.031829898534872,21.878471375827317,13.667634222473529,Daily
2025-01-10,10.005037601720355,6.436254297222221,22.496276980336404,13.84154372407794,Daily
2025-01-11,10.910305266457037,6.884664693146074,21.359159198173774,13.722767549625221,Daily
2025-01-12,10.54480634243284,6.781001054927478,21.93099616026921,13.646543670942789,Daily
2025-01-13,10.337587333874087,6.814287173649342,21.17915271327537,13.540604581335844,Daily
2025-01-14,10.223594133479889,6.500754596955294,21.988258540128584,13.411632573191655,Daily
2025-01-15,10.410926786867837,6.4357934908316405,22.602883439827124,13.03808029658798,Daily
2025-01-15,10.3,7.050000000000001,21.15,13.58,Monthly
2025-02-14,10.361958822951154,7.106741309561256,21.022989974837625,13.641031820295977,Monthly
2025-03-16,9.896875669022965,7.2650579382802265,21.51609396107465,13.835358322182149,Monthly
2025-04-15,9.714834095626228,6.887950143201096,21.15039378628441,13.742085863128684,Monthly
2025-05-15,9.738094114386422,7.015444980009806,22.12287592898081,13.567178864271579,Monthly
2025-06-14,9.51018063661857,7.027231292362725,21.37854616779472,13.78616693339043,Monthly
2025-07-14,10.359932484863632,7.3844722619151,22.16908206969584,13.281587646257053,Monthly
2025-08-13,10.142847922376102,6.749582847743729,21.38104948640058,13.645253454711227,Monthly
2025-09-12,9.98303257440267,6.932769437490708,21.65247188289937,13.784110264658205,Monthly
2025-10-12,9.933523853291216,7.268647413762169,21.139551432148828,13.764581181974735,Monthly
2025-11-11,9.853109201173735,6.831630597896023,21.246327163139103,13.760047328848742,Monthly
2025-12-11,10.115609493197839,6.899674058596706,21.87227650634358,13.860592663183231,Monthly
2026-01-10,9.799856130071383,7.29298388752927,21.297260944260966,13.436640635638286,Monthly
2026-02-09,10.304229897711386,6.5643488434107695,21.023357993333256,13.67248879433637,Monthly
2026-03-11,10.20326155508991,7.041845168377088,21.293063724426617,13.622596292531886,Monthly
2026-04-10,10.532924354565852,7.487599968217457,21.96937487061489,13.38745022785216,Monthly
2026-05-10,10.449473292472451,6.918492689931653,21.37856824849786,13.462152253883689,Monthly
2026-06-09,9.963908143941854,6.575384226409498,21.34011782861177,13.496198757414152,Monthly
2026-07-09,10.219083659437832,6.930442599894813,21.75984839399773,13.857937596905696,Monthly
2026-08-08,9.759069382622888,6.815390839583696,22.161219997105718,13.655156093713893,Monthly
2026-09-07,10.414116234990452,6.8835754646541725,21.193510946527322,13.607055197016534,Monthly
2026-10-07,10.414877627800218,6.850215662368265,21.16714072184979,13.872018664356519,Monthly
2026-11-06,9.363188225156048,7.182012195585357,21.475339696575936,13.665176412917388,Monthly
2026-12-06,10.143065339567679,6.980284473042747,21.678861937010094,13.784230616143127,Monthly
